timestamp,ip_address,prediction
2025-06-25T23:49:17.631494,172.20.10.4,['DoS']
2025-06-25T23:49:24.641544,172.20.10.4,['DoS']
2025-06-25T23:50:07.969395,172.20.10.4,['DoS']
2025-06-25T23:51:09.210748,172.20.10.4,['DoS']
2025-06-25T23:52:12.950650,172.20.10.4,['DoS']
2025-06-25T23:53:22.900334,172.20.10.4,['DoS']
2025-06-25T23:53:51.804870,172.20.10.4,['DoS']
2025-06-25T23:54:35.022321,172.20.10.4,['DoS']
2025-06-25T23:59:44.919378,172.20.10.4,['DoS']
2025-06-26T00:00:30.168789,172.20.10.4,['DoS']
2025-06-26T00:20:27.839152,172.20.10.4,['DoS']
2025-06-26T00:20:51.308527,172.20.10.4,['DoS']
2025-06-26T00:22:37.983208,172.20.10.4,['DoS']
2025-06-26T19:29:19.118999,192.168.1.123,['DoS']
2025-06-26T19:29:30.462677,192.168.1.123,['DoS']
2025-06-26T19:30:21.357260,192.168.1.123,['DoS']
2025-06-26T19:37:43.053008,192.168.1.123,['DoS']
2025-06-26T19:39:00.558932,192.168.1.123,['DoS']
2025-06-26T19:39:12.253735,192.168.1.123,['DoS']
2025-06-26T19:39:13.458154,192.168.1.123,['DoS']
2025-06-26T19:39:51.062163,192.168.1.123,['DoS']
2025-06-26T19:39:58.031194,192.168.1.123,['DoS']
2025-06-26T19:40:46.840184,192.168.1.123,['DoS']
2025-06-26T19:41:00.422864,192.168.1.123,['DoS']
2025-06-26T19:41:46.710105,192.168.1.123,['DoS']
2025-06-26T19:42:54.432473,192.168.1.123,['DoS']
2025-06-26T19:44:12.581405,192.168.1.123,['DoS']
2025-06-26T20:25:20.793883,192.168.1.123,['DoS']
2025-06-26T20:26:55.284538,192.168.1.123,['DoS']
2025-06-26T20:28:48.067744,192.168.1.123,['DoS']
2025-06-26T20:29:49.965849,192.168.1.123,['DoS']
2025-06-26T20:29:54.706176,192.168.1.123,['DoS']
2025-06-26T20:33:41.638034,192.168.1.123,['DoS']
2025-06-26T20:34:12.324667,192.168.1.123,['DoS']
2025-06-26T20:35:44.585660,192.168.1.123,['DoS']
2025-06-26T20:36:11.994604,192.168.1.123,['DoS']
2025-06-26T20:37:57.717191,192.168.1.123,['DoS']
2025-06-26T20:38:27.172254,192.168.1.123,['DoS']
2025-06-26T20:40:11.692017,192.168.1.123,['DoS']
2025-06-26T20:40:37.499765,192.168.1.123,['DoS']
2025-06-26T20:42:31.355091,192.168.1.123,['DoS']
2025-06-26T20:42:59.006793,192.168.1.123,['DoS']
2025-06-26T20:43:39.041678,192.168.1.123,['DoS']
2025-06-26T20:45:08.012785,192.168.1.123,['DoS']
2025-06-26T20:45:35.250412,192.168.1.123,['DoS']
2025-06-26T20:46:34.735493,192.168.1.123,['DoS']
2025-06-26T20:46:37.246376,192.168.1.123,['DoS']
2025-06-26T20:47:48.636719,192.168.1.123,['DoS']
2025-06-26T20:48:13.777662,192.168.1.123,['DoS']
2025-06-26T20:50:43.074561,192.168.1.123,['DoS']
2025-06-26T20:51:10.381054,192.168.1.123,['DoS']
2025-06-26T20:53:31.175685,192.168.1.123,['DoS']
2025-06-26T20:53:57.277164,192.168.1.123,['DoS']
2025-06-26T20:56:26.715035,192.168.1.123,['DoS']
2025-06-26T20:56:51.816205,192.168.1.123,['DoS']
2025-06-26T20:59:29.377909,192.168.1.123,['DoS']
2025-06-26T20:59:58.201331,192.168.1.123,['DoS']
2025-06-26T21:01:21.632657,192.168.1.123,['DoS']
2025-06-26T21:03:15.709715,192.168.1.123,['DoS']
2025-06-26T21:03:42.937466,192.168.1.123,['DoS']
2025-06-26T21:05:07.784658,192.168.1.123,['DoS']
2025-06-26T21:21:18.462358,192.168.1.123,['DoS']
2025-06-26T21:22:55.073742,192.168.1.123,['DoS']
2025-06-26T21:24:25.614931,192.168.1.123,['DoS']
2025-06-26T21:26:05.486758,192.168.1.123,['DoS']
2025-06-26T21:27:22.741642,192.168.1.123,['DoS']
2025-06-26T21:57:53.437538,192.168.1.123,['DoS']
2025-06-26T21:59:17.102083,192.168.1.123,['DoS']
2025-06-26T22:17:30.442226,192.168.1.123,['DoS']
2025-06-26T22:29:03.959088,192.168.1.123,['DoS']
2025-06-26T22:29:51.616216,192.168.1.123,['DoS']
2025-06-26T22:31:20.785924,192.168.1.123,['DoS']
2025-06-26T22:32:01.857961,192.168.1.123,['DoS']
2025-06-26T22:32:46.885822,192.168.1.123,['DoS']
2025-06-26T22:33:16.803314,192.168.1.123,['DoS']
2025-06-26T22:34:04.436448,192.168.1.123,['DoS']
2025-06-26T22:56:07.311274,192.168.1.123,['DoS']
2025-06-26T22:56:58.983895,192.168.1.123,['DoS']
2025-06-26T22:57:30.157063,192.168.1.123,['DoS']
2025-06-26T22:57:55.809769,192.168.1.123,['DoS']
2025-06-26T22:59:05.105391,192.168.1.123,['DoS']
2025-06-26T22:59:49.661815,192.168.1.123,['DoS']
2025-06-26T23:00:25.255425,192.168.1.123,['DoS']
2025-06-26T23:01:50.059601,192.168.1.123,['DoS']
2025-06-26T23:02:38.482068,192.168.1.123,['DoS']
2025-06-26T23:03:15.927368,192.168.1.123,['DoS']
2025-06-26T23:05:01.207126,192.168.1.123,['DoS']
2025-06-26T23:06:21.881519,192.168.1.123,['DoS']
2025-06-26T23:06:42.142183,192.168.1.123,['DoS']
2025-06-26T23:08:24.714354,192.168.1.123,['DoS']
2025-06-26T23:10:17.472380,192.168.1.123,['DoS']
2025-06-26T23:12:44.897819,192.168.1.123,['DoS']
2025-06-26T23:15:53.740023,192.168.1.123,['DoS']
2025-06-26T23:18:30.405604,192.168.1.123,['DoS']
2025-06-26T23:21:25.731379,192.168.1.123,['DoS']
2025-06-26T23:25:30.210785,192.168.1.123,['DoS']
2025-06-26T23:29:45.300087,192.168.1.123,['DoS']
2025-06-26T23:33:19.953569,192.168.1.123,['DoS']
2025-06-26T23:37:39.545384,192.168.1.123,['DoS']
2025-06-26T23:40:17.268846,192.168.1.123,['DoS']
2025-06-26T23:40:45.611312,192.168.1.123,['DoS']
2025-06-26T23:44:02.050670,192.168.1.123,['DoS']
2025-06-26T23:48:20.063266,192.168.1.123,['DoS']
2025-06-26T23:52:18.089983,192.168.1.123,['DoS']
2025-06-26T23:57:25.475704,192.168.1.123,['DoS']
